Product Name,Product Rating,Number of Reviews,Product Price,Product URL
American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,4.3 out of 5 stars,"1,342","₹1,399",https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1697559871&sprefix=ba%2Caps%2C283&sr=8-9
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,3.9 out of 5 stars,"1,397",₹449,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1697559871&sprefix=ba%2Caps%2C283&sr=8-10
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",4.1 out of 5 stars,"10,270",₹229,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1697559871&sprefix=ba%2Caps%2C283&sr=8-11
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),3.7 out of 5 stars,"2,764",₹529,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1697559871&sprefix=ba%2Caps%2C283&sr=8-12
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,4.3 out of 5 stars,"6,874",₹799,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1697559871&sprefix=ba%2Caps%2C283&sr=8-13
ADISA Laptop Backpack 31 Ltrs,4.0 out of 5 stars,"9,231",₹375,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1697559871&sprefix=ba%2Caps%2C283&sr=8-14
American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Blue,4.2 out of 5 stars,921,₹999,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1697559871&sprefix=ba%2Caps%2C283&sr=8-15
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,3.9 out of 5 stars,"4,291",₹469,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1697559871&sprefix=ba%2Caps%2C283&sr=8-16
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6 inch laptop) 30 L (Blue & black),4.3 out of 5 stars,"13,221",₹499,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-1
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),4.0 out of 5 stars,"56,348","₹1,099",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1697559873&sprefix=ba%2Caps%2C283&sr=8-2
